Vehicle_id,Entry_time,Exit_time
1,16:36:41.812055,16:36:42.487105
2,16:36:43.371657,16:36:44.254007
3,16:36:46.076895,16:36:46.854944
64,16:36:50.251712,16:36:51.039907
83,16:36:52.198376,16:36:53.040168
119,16:36:53.678875,16:36:54.414856
133,16:36:55.476140,16:36:56.167631
122,16:36:56.114851,16:36:56.861521
139,16:36:56.648058,16:36:57.396930
166,16:37:04.258132,16:37:04.960541
154,16:37:04.258098,16:37:05.016425
175,16:37:06.714882,16:37:07.425970
222,16:37:12.117444,16:37:12.777712
269,16:37:14.879435,16:37:15.711988
272,16:37:19.019454,16:37:20.070085
