frame_number,tracked_points_count,avg_pixel_speed_per_frame,speed_kph
1,1,0.0,0.05
2,1,0.1,1.08
3,1,0.0,0.0
4,1,0.04,0.44
5,1,0.01,0.08
6,1,0.0,0.04
7,1,0.0,0.05
8,1,0.0,0.01
9,1,0.02,0.17
10,1,0.0,0.05
11,1,0.0,0.0
12,1,0.01,0.13
13,1,0.01,0.13
14,1,0.0,0.02
15,1,0.0,0.01
16,1,0.0,0.02
17,1,0.0,0.0
18,1,0.0,0.01
19,1,0.0,0.05
20,1,0.0,0.03
21,1,0.0,0.01
22,1,0.0,0.02
23,1,0.01,0.11
24,1,0.0,0.02
25,1,0.01,0.06
26,1,0.01,0.12
27,1,0.0,0.04
28,1,0.0,0.02
29,1,0.0,0.01
30,1,0.0,0.04
31,1,0.0,0.01
32,1,0.0,0.02
33,1,0.0,0.03
34,1,0.0,0.02
35,1,0.0,0.05
36,1,0.0,0.02
37,1,0.0,0.01
38,1,0.0,0.02
39,1,0.0,0.01
40,1,0.1,1.04
41,1,0.0,0.03
42,1,0.0,0.05
43,1,0.0,0.03
44,1,0.09,0.97
45,1,0.0,0.01
46,1,0.0,0.0
47,1,0.0,0.0
48,1,0.0,0.0
49,1,0.0,0.0
50,1,0.0,0.01
51,1,0.01,0.07
52,1,0.04,0.4
53,1,2.54,27.48
54,1,10.08,108.84
55,1,12.15,131.25
56,1,13.63,147.2
57,1,14.84,160.31
58,1,7.37,79.63
59,1,14.77,159.47
60,1,15.92,171.91
61,1,0.04,0.49
62,1,0.0,0.01
63,1,0.0,0.0
64,1,0.0,0.01
65,1,0.01,0.1
66,1,0.05,0.59
67,1,0.05,0.51
68,1,0.0,0.01
69,1,0.0,0.01
70,1,0.0,0.01
71,1,0.0,0.03
72,1,0.09,1.02
73,1,0.0,0.01
74,1,0.02,0.17
75,1,0.03,0.28
76,1,0.0,0.01
77,1,0.13,1.38
78,1,0.01,0.06
79,1,0.0,0.01
80,1,0.0,0.01
81,1,0.0,0.01
82,1,0.02,0.19
83,1,0.0,0.0
84,1,0.0,0.0
85,1,0.0,0.05
86,1,0.0,0.03
87,1,0.0,0.0
88,1,0.0,0.0
89,1,0.0,0.01
90,1,0.05,0.53
91,1,0.0,0.0
92,1,0.0,0.0
93,1,0.0,0.02
94,1,0.0,0.01
95,1,0.0,0.0
96,1,0.0,0.04
97,1,0.0,0.0
98,1,0.0,0.0
99,1,0.0,0.0
100,1,0.0,0.02
101,1,0.0,0.03
102,1,0.06,0.6
103,1,0.16,1.7
104,1,9.48,102.4
105,1,12.92,139.53
106,1,14.8,159.87
107,1,13.85,149.62
108,1,11.25,121.44
109,1,14.65,158.24
110,1,18.2,196.5
111,1,19.49,210.51
112,1,19.52,210.83
113,1,19.65,212.24
114,1,23.48,253.59
115,1,22.41,242.04
116,0,0,0
117,1,0.0,0.01
118,1,0.0,0.01
119,1,0.01,0.16
120,1,0.0,0.0
121,1,0.07,0.72
122,1,0.01,0.09
123,1,0.08,0.9
124,1,0.0,0.01
125,1,0.0,0.0
126,1,0.0,0.02
127,1,0.08,0.91
128,1,0.0,0.03
129,1,0.0,0.01
130,1,0.08,0.91
131,1,0.02,0.24
132,1,0.14,1.49
133,1,0.0,0.01
134,1,0.0,0.02
135,1,0.06,0.64
136,1,0.03,0.31
137,1,0.0,0.01
138,1,0.1,1.1
139,1,0.0,0.04
140,1,0.0,0.01
141,1,0.0,0.03
142,1,0.0,0.01
143,1,0.12,1.32
144,1,0.0,0.02
145,1,0.0,0.01
146,1,0.0,0.02
147,1,0.0,0.0
148,1,0.0,0.02
149,1,0.0,0.0
150,1,0.0,0.02
151,1,0.0,0.0
152,1,0.01,0.11
153,1,0.0,0.01
154,1,0.0,0.03
155,1,0.0,0.01
156,1,0.0,0.03
157,1,0.0,0.01
158,1,0.0,0.01
159,1,0.0,0.0
160,1,0.0,0.01
161,1,0.0,0.0
162,1,0.0,0.01
163,1,0.02,0.21
164,1,0.0,0.03
165,1,0.0,0.01
166,1,0.09,0.99
167,1,0.05,0.5
168,1,0.0,0.01
169,1,0.0,0.0
170,1,0.0,0.02
171,1,0.0,0.01
172,1,0.0,0.0
173,1,0.0,0.01
174,1,0.0,0.01
175,1,0.0,0.04
176,1,0.0,0.04
177,1,0.0,0.0
178,1,0.0,0.02
179,1,0.0,0.01
180,1,0.0,0.0
181,1,0.0,0.01
182,1,0.0,0.05
183,1,0.42,4.56
184,1,6.82,73.67
185,1,13.02,140.66
186,1,14.82,160.02
