frame_number,track_id,class_name,speed_kph,pixel_distance_per_frame
26,1,car,95.93,12.81
27,1,car,108.04,14.42
28,1,car,117.01,15.62
29,1,car,122.86,16.4
30,1,car,133.37,17.8
31,1,car,155.88,20.81
32,1,car,162.05,21.63
33,1,car,164.29,21.93
34,1,car,192.01,25.63
57,14,car,150.75,20.12
58,14,car,251.7,33.6
59,2,car,97.67,13.04
59,14,car,234.02,31.24
60,2,car,101.89,13.6
60,14,car,218.78,29.21
61,2,car,112.36,15.0
61,14,car,190.69,25.46
62,2,car,112.36,15.0
62,14,car,164.97,22.02
63,2,car,128.88,17.2
63,14,car,148.31,19.8
64,2,car,139.34,18.6
64,14,car,138.13,18.44
65,2,car,139.34,18.6
65,14,car,127.57,17.03
66,2,car,155.88,20.81
66,14,car,100.78,13.45
67,2,car,150.75,20.12
67,14,car,106.47,14.21
68,2,car,151.68,20.25
68,14,car,117.01,15.62
69,2,car,205.69,27.46
69,14,car,74.91,10.0
70,2,car,251.7,33.6
70,14,car,91.44,12.21
71,2,car,190.98,25.5
71,14,car,91.44,12.21
72,2,car,193.32,25.81
72,14,car,63.56,8.49
73,14,car,54.02,7.21
74,14,car,74.91,10.0
75,14,car,74.91,10.0
76,14,car,52.97,7.07
77,14,car,47.97,6.4
78,14,car,52.97,7.07
79,14,car,52.97,7.07
80,14,car,37.45,5.0
81,14,car,64.44,8.6
82,14,car,47.97,6.4
83,14,car,27.01,3.61
84,14,car,42.37,5.66
85,14,car,37.45,5.0
86,14,car,31.78,4.24
87,14,car,21.19,2.83
88,14,car,27.01,3.61
89,14,car,37.45,5.0
90,14,car,33.5,4.47
91,14,car,29.96,4.0
92,14,car,21.19,2.83
93,14,car,27.01,3.61
94,14,car,27.01,3.61
110,23,car,112.36,15.0
111,23,car,118.44,15.81
112,23,car,118.44,15.81
113,23,car,131.04,17.49
114,23,car,139.34,18.6
115,23,car,151.68,20.25
116,23,car,172.45,23.02
117,23,car,170.98,22.83
118,23,car,166.33,22.2
119,23,car,286.23,38.21
120,23,car,218.78,29.21
127,36,car,155.88,20.81
128,36,car,234.02,31.24
129,36,car,217.75,29.07
130,36,car,202.39,27.02
131,36,car,185.47,24.76
132,36,car,159.26,21.26
133,36,car,154.43,20.62
134,36,car,138.13,18.44
135,36,car,121.94,16.28
136,36,car,117.01,15.62
137,36,car,127.57,17.03
138,36,car,69.06,9.22
139,36,car,95.93,12.81
140,36,car,87.36,11.66
141,36,car,85.41,11.4
142,36,car,74.91,10.0
143,36,car,69.06,9.22
144,36,car,64.44,8.6
145,36,car,63.56,8.49
146,36,car,58.51,7.81
147,36,car,43.68,5.83
148,36,car,52.97,7.07
149,36,car,52.97,7.07
150,36,car,47.97,6.4
151,36,car,52.97,7.07
152,36,car,54.02,7.21
153,36,car,43.68,5.83
154,36,car,33.5,4.47
155,36,car,33.5,4.47
156,36,car,31.78,4.24
157,36,car,42.37,5.66
158,36,car,27.01,3.61
159,36,car,30.89,4.12
160,36,car,43.68,5.83
189,25,car,112.36,15.0
190,25,car,122.86,16.4
191,25,car,135.04,18.03
192,25,car,139.34,18.6
193,25,car,145.45,19.42
194,25,car,168.34,22.47
195,25,car,182.88,24.41
196,25,car,169.0,22.56
197,25,car,223.48,29.83
198,25,car,243.89,32.56
199,25,car,203.77,27.2
200,25,car,194.33,25.94
232,34,car,134.0,17.89
233,34,car,140.74,18.79
234,34,car,164.46,21.95
235,34,car,167.5,22.36
236,34,car,184.25,24.6
237,34,car,160.31,21.4
238,34,car,114.34,15.26
239,34,car,107.25,14.32
240,34,car,137.72,18.38
241,34,car,191.42,25.55
254,46,car,97.67,13.04
255,46,car,111.36,14.87
256,46,car,108.04,14.42
257,46,car,87.36,11.66
258,46,car,151.68,20.25
259,46,car,166.33,22.2
260,46,car,174.72,23.32
261,46,car,185.01,24.7
262,46,car,194.76,26.0
287,89,car,106.47,14.21
288,89,car,105.94,14.14
289,89,car,95.93,12.81
290,89,car,85.41,11.4
291,89,car,164.46,21.95
292,89,car,166.33,22.2
293,89,car,227.83,30.41
294,89,car,212.93,28.43
295,89,car,204.6,27.31
296,102,car,208.27,27.8
297,102,car,218.78,29.21
298,102,car,196.63,26.25
299,102,car,169.83,22.67
300,102,car,174.88,23.35
301,102,car,143.11,19.1
302,77,car,120.79,16.12
302,102,car,121.94,16.28
303,77,car,135.04,18.03
303,102,car,116.53,15.56
304,77,car,144.09,19.24
304,102,car,121.94,16.28
305,77,car,158.02,21.1
305,102,car,100.78,13.45
306,77,car,164.46,21.95
306,102,car,95.34,12.73
307,77,car,189.06,25.24
307,102,car,90.2,12.04
308,77,car,244.58,32.65
308,102,car,100.78,13.45
309,77,car,147.55,19.7
309,102,car,74.16,9.9
310,77,car,60.39,8.06
310,102,car,74.91,10.0
311,77,car,268.0,35.78
311,91,car,95.93,12.81
311,102,car,69.06,9.22
312,77,car,234.5,31.3
312,91,car,100.78,13.45
312,102,car,69.06,9.22
313,91,car,111.36,14.87
313,102,car,52.97,7.07
314,91,car,90.51,12.08
314,102,car,69.06,9.22
315,91,car,94.75,12.65
315,102,car,63.56,8.49
316,91,car,182.88,24.41
316,102,car,42.37,5.66
317,91,car,218.4,29.15
317,102,car,63.56,8.49
318,91,car,197.91,26.42
318,102,car,37.45,5.0
319,91,car,190.98,25.5
319,102,car,52.97,7.07
320,91,car,208.67,27.86
320,102,car,42.37,5.66
321,102,car,47.97,6.4
322,102,car,30.89,4.12
323,102,car,60.39,8.06
324,102,car,43.68,5.83
325,102,car,31.78,4.24
326,102,car,31.78,4.24
327,102,car,27.01,3.61
328,102,car,40.34,5.39
329,102,car,21.19,2.83
330,102,car,31.78,4.24
331,102,car,37.45,5.0
332,102,car,40.34,5.39
333,102,car,22.47,3.0
334,102,car,73.78,9.85
335,102,car,33.5,4.47
336,102,car,30.89,4.12
337,102,car,27.01,3.61
338,102,car,23.69,3.16
339,102,car,16.75,2.24
340,102,car,21.19,2.83
341,102,car,21.19,2.83
342,102,car,16.75,2.24
343,102,car,27.01,3.61
344,102,car,21.19,2.83
345,102,car,33.5,4.47
346,102,car,22.47,3.0
347,102,car,21.19,2.83
348,102,car,10.59,1.41
349,102,car,16.75,2.24
350,102,car,10.59,1.41
351,102,car,16.75,2.24
352,102,car,7.49,1.0
353,102,car,14.98,2.0
354,102,car,7.49,1.0
355,102,car,10.59,1.41
356,102,car,7.49,1.0
357,102,car,16.75,2.24
358,102,car,16.75,2.24
359,102,car,16.75,2.24
360,102,car,16.75,2.24
361,102,car,10.59,1.41
362,102,car,10.59,1.41
363,102,car,7.49,1.0
364,102,car,21.19,2.83
365,102,car,10.59,1.41
366,102,car,16.75,2.24
367,102,car,10.59,1.41
368,102,car,10.59,1.41
369,102,car,10.59,1.41
370,102,car,7.49,1.0
371,102,car,10.59,1.41
372,102,car,10.59,1.41
373,102,car,7.49,1.0
374,102,car,10.59,1.41
375,102,car,0.0,0.0
376,102,car,10.59,1.41
377,102,car,7.49,1.0
378,102,car,7.49,1.0
379,102,car,14.98,2.0
380,102,car,10.59,1.41
381,102,car,7.49,1.0
382,102,car,10.59,1.41
383,102,car,7.49,1.0
384,102,car,10.59,1.41
385,102,car,14.98,2.0
452,123,car,106.47,14.21
453,123,car,106.47,14.21
454,123,car,118.44,15.81
455,123,car,133.37,17.8
456,115,car,147.74,19.72
456,123,car,155.88,20.81
457,115,car,150.75,20.12
457,123,car,154.43,20.62
458,115,car,170.98,22.83
458,123,car,174.72,23.32
459,115,car,181.18,24.19
459,123,car,185.01,24.7
460,115,car,197.91,26.42
460,123,car,225.35,30.08
461,115,car,170.82,22.8
462,115,car,117.25,15.65
494,149,car,121.02,16.16
495,149,car,127.57,17.03
496,149,car,151.68,20.25
496,151,truck,112.36,15.0
497,134,car,100.78,13.45
497,149,car,141.34,18.87
497,151,truck,128.88,17.2
498,134,car,108.04,14.42
498,149,car,131.04,17.49
498,151,truck,131.04,17.49
499,134,car,111.36,14.87
499,149,car,117.25,15.65
499,151,bus,112.36,15.0
500,134,car,82.74,11.05
500,149,car,104.07,13.89
500,151,truck,97.67,13.04
501,134,car,143.11,19.1
501,149,car,97.67,13.04
501,151,bus,97.67,13.04
502,134,car,227.83,30.41
502,149,car,87.36,11.66
502,151,truck,87.36,11.66
503,134,car,208.13,27.78
503,149,car,91.44,12.21
503,151,bus,91.44,12.21
504,134,car,208.13,27.78
504,149,car,73.78,9.85
504,151,bus,70.67,9.43
505,134,car,201.7,26.93
505,149,car,64.44,8.6
505,151,truck,70.67,9.43
506,149,car,77.12,10.3
506,151,truck,70.67,9.43
507,149,car,64.44,8.6
507,151,truck,47.97,6.4
508,149,car,57.05,7.62
508,151,truck,64.44,8.6
509,149,car,67.0,8.94
509,151,truck,54.02,7.21
510,149,car,73.78,9.85
510,151,truck,47.97,6.4
511,149,car,43.68,5.83
511,151,bus,43.68,5.83
511,154,car,140.74,18.79
512,149,car,37.45,5.0
512,151,bus,47.97,6.4
512,154,car,154.43,20.62
513,149,car,47.38,6.32
513,151,bus,43.68,5.83
513,154,car,172.45,23.02
514,149,car,47.97,6.4
514,151,bus,43.68,5.83
514,154,car,162.05,21.63
515,149,car,40.34,5.39
515,151,bus,33.5,4.47
515,154,car,141.34,18.87
516,149,car,50.25,6.71
516,151,bus,33.5,4.47
516,154,car,124.67,16.64
517,149,car,37.45,5.0
517,151,bus,31.78,4.24
517,154,car,118.44,15.81
518,149,car,50.25,6.71
518,151,bus,114.59,15.3
518,154,car,104.07,13.89
519,149,car,43.68,5.83
519,151,truck,107.25,14.32
519,154,car,97.67,13.04
520,149,car,33.5,4.47
520,151,truck,101.89,13.6
520,154,car,101.89,13.6
521,149,car,33.5,4.47
521,151,bus,99.94,13.34
521,154,car,81.03,10.82
522,149,car,23.69,3.16
522,151,bus,97.38,13.0
522,154,car,85.41,11.4
523,149,car,10.59,1.41
523,151,bus,78.21,10.44
523,154,car,67.0,8.94
524,149,car,16.75,2.24
524,151,bus,83.75,11.18
524,154,car,79.63,10.63
525,149,car,27.01,3.61
525,151,bus,76.39,10.2
525,154,car,73.78,9.85
526,149,car,16.75,2.24
526,151,bus,75.28,10.05
526,154,car,54.02,7.21
527,149,car,33.5,4.47
527,151,bus,69.06,9.22
527,154,car,54.02,7.21
528,149,car,27.01,3.61
528,151,bus,54.53,7.28
528,154,car,54.02,7.21
529,149,car,21.19,2.83
529,151,bus,57.05,7.62
529,154,car,47.97,6.4
530,149,car,33.5,4.47
530,151,bus,54.53,7.28
530,154,car,42.37,5.66
531,149,car,23.69,3.16
531,151,bus,47.38,6.32
531,154,car,58.51,7.81
532,149,car,21.19,2.83
532,151,bus,54.53,7.28
532,154,car,30.89,4.12
533,149,car,16.75,2.24
533,151,bus,50.25,6.71
533,154,car,43.68,5.83
534,149,car,23.69,3.16
534,151,truck,45.57,6.08
534,154,car,42.37,5.66
535,149,car,16.75,2.24
535,151,bus,47.38,6.32
535,154,car,33.5,4.47
535,164,car,112.61,15.03
536,149,car,10.59,1.41
536,151,bus,40.34,5.39
536,154,car,33.5,4.47
536,164,car,135.04,18.03
537,149,car,10.59,1.41
537,151,bus,44.95,6.0
537,154,car,47.38,6.32
537,164,car,196.63,26.25
538,149,car,16.75,2.24
538,151,bus,30.89,4.12
538,154,car,54.02,7.21
538,164,car,170.82,22.8
539,149,car,14.98,2.0
539,151,bus,40.34,5.39
539,154,car,27.01,3.61
539,164,car,135.04,18.03
540,149,car,16.75,2.24
540,151,bus,29.96,4.0
540,154,car,27.01,3.61
540,164,car,112.36,15.0
541,149,car,16.75,2.24
541,151,bus,43.68,5.83
541,154,car,27.01,3.61
541,164,car,114.34,15.26
542,149,car,27.01,3.61
542,151,bus,33.5,4.47
542,154,car,22.47,3.0
542,164,car,106.47,14.21
543,149,car,10.59,1.41
543,151,bus,30.89,4.12
