Vehicle_id,Entry_time,Exit_time
1,13:28:39.755664,13:28:40.435845
2,13:28:41.323157,13:28:42.205388
3,13:28:44.025961,13:28:44.801744
64,13:28:48.190672,13:28:48.971523
83,13:28:50.131514,13:28:50.977971
119,13:28:51.612811,13:28:52.353506
133,13:28:53.420641,13:28:54.114489
122,13:28:54.062254,13:28:54.812536
139,13:28:54.597552,13:28:55.352778
166,13:29:02.526011,13:29:03.228575
154,13:29:02.525974,13:29:03.282239
175,13:29:04.990566,13:29:05.703806
222,13:29:10.419981,13:29:11.083867
269,13:29:13.189961,13:29:14.024271
272,13:29:17.332740,13:29:18.386730
