frame_number,tracked_points_count,speed_kph
1,44,1.42
2,41,0.54
3,39,0.23
4,39,0.7
5,38,0.65
6,38,1.58
7,36,0.64
8,35,1.35
9,35,0.92
10,35,0.9
11,57,0.71
12,56,3.04
13,45,1.64
14,45,0.78
15,45,0.65
16,43,6.34
17,41,0.66
18,41,1.09
19,40,3.65
20,39,2.34
21,64,12.01
22,60,4.73
23,59,13.33
24,59,2.53
25,59,24.52
26,59,0.34
27,58,0.18
28,58,0.48
29,58,4.78
30,57,5.08
31,68,0.92
32,68,2.42
33,65,0.8
34,63,1.43
35,62,0.32
36,62,21.07
37,62,0.7
38,61,0.85
39,61,14.19
40,61,6.04
41,70,9.4
42,70,15.07
43,67,14.73
44,66,19.33
45,66,28.8
46,66,37.58
47,61,30.52
48,61,38.92
49,61,54.58
50,61,73.01
51,17,106.61
52,17,112.65
53,17,119.58
54,17,126.31
55,17,134.34
56,17,141.67
57,17,149.56
58,17,159.39
59,17,170.19
60,17,180.94
61,13,166.28
62,13,174.82
63,13,198.5
64,13,199.87
65,13,215.2
66,13,247.83
67,13,257.86
68,13,283.68
69,13,305.74
70,13,335.24
71,64,0.41
72,63,4.81
73,61,1.23
74,60,0.65
75,60,0.29
76,60,0.71
77,60,0.7
78,60,0.47
79,59,0.31
80,59,0.28
81,65,0.36
82,65,0.25
83,65,0.21
84,65,0.44
85,65,0.26
86,65,0.12
87,65,0.99
88,64,1.05
89,64,1.65
90,64,4.79
91,66,5.97
92,66,9.02
93,66,9.63
94,65,14.39
95,65,18.91
96,62,28.53
97,59,27.03
98,59,40.62
99,59,61.5
100,59,68.05
101,17,113.0
102,17,119.17
103,17,126.48
104,17,134.96
105,17,143.4
106,17,152.85
107,17,163.15
108,17,173.92
109,17,185.91
110,17,200.05
111,12,178.39
112,12,191.16
113,12,207.92
114,12,226.27
115,12,244.28
116,12,264.89
117,12,269.79
118,12,295.89
119,12,325.25
120,12,360.46
121,68,0.35
122,68,0.44
123,67,0.17
124,67,0.73
125,67,0.52
126,67,0.45
127,65,0.24
128,64,0.19
129,64,0.18
130,64,0.65
131,70,0.8
132,68,3.92
133,61,1.76
134,61,0.43
135,60,0.43
136,59,1.06
137,59,0.37
138,59,0.38
139,59,0.69
140,57,0.58
141,65,0.13
142,65,0.22
143,65,0.34
144,64,0.63
145,61,0.33
146,61,0.28
147,61,0.33
148,61,0.31
149,61,0.06
150,61,0.16
151,64,0.07
152,64,9.08
153,53,0.76
154,52,0.64
155,51,0.52
156,51,0.18
157,51,0.11
158,51,0.14
159,51,0.45
160,51,0.21
161,64,0.3
162,64,0.47
163,63,0.51
164,63,1.2
165,55,0.36
166,54,0.24
167,53,0.26
168,53,0.9
169,52,0.44
170,51,1.59
171,64,8.27
172,64,8.99
173,63,7.82
174,60,13.17
175,60,16.07
176,60,22.47
177,58,62.2
178,58,51.89
179,58,51.76
180,57,78.62
181,14,121.45
182,14,129.26
183,14,137.55
184,14,146.34
185,14,156.08
186,14,167.1
187,14,178.27
188,14,191.53
189,14,205.66
190,14,221.48
191,4,202.18
192,4,220.32
193,63,65.67
194,61,64.86
195,60,63.89
196,60,49.11
197,59,51.46
198,57,51.63
199,57,51.82
200,57,58.07
201,66,0.88
202,62,0.49
203,61,1.48
204,54,0.59
205,53,1.77
206,53,1.42
207,52,0.3
208,52,0.65
209,51,6.27
210,50,10.21
211,4,42.41
212,4,65.62
213,6,76.28
214,8,94.11
215,6,100.22
216,10,103.28
217,10,109.13
218,10,114.76
219,10,122.56
220,10,128.44
221,20,127.88
222,20,135.6
223,20,143.8
224,20,152.4
