Vehicle_id,Entry_time,Exit_time
1,14:45:24.006251,14:45:24.634531
2,14:45:25.586404,14:45:26.436520
3,14:45:28.337746,14:45:29.080976
64,14:45:32.592857,14:45:33.339771
83,14:45:34.583720,14:45:35.389258
119,14:45:36.096753,14:45:36.794010
133,14:45:37.931407,14:45:38.634694
122,14:45:38.525968,14:45:39.289443
139,14:45:39.074480,14:45:39.837538
166,14:45:46.774446,14:45:47.488853
154,14:45:46.828560,14:45:47.542884
175,14:45:49.380641,14:45:50.077937
222,14:45:54.920502,14:45:55.620083
269,14:45:57.856994,14:45:58.645713
272,14:46:02.163829,14:46:03.266817
